gender;f;a0;a1;a2;p0;p1;q0;q1;agebound;l0;l1;m0;m1;s0;s1
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;45.75;0;0;-0.011511522;-0.014171977;0.059358614;0.059891167
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;46;0;0;-0.014171977;-0.016850934;0.059891167;0.060409528
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;46.25;0;0;-0.016850934;-0.019546908;0.060409528;0.060913969
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;46.5;0;0;-0.019546908;-0.022258458;0.060913969;0.061404753
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;46.75;0;0;-0.022258458;-0.024984187;0.061404753;0.06188214
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;47;0;0;-0.024984187;-0.027722736;0.06188214;0.062346384
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;47.25;0;0;-0.027722736;-0.030472788;0.062346384;0.062797733
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;47.5;0;0;-0.030472788;-0.033233065;0.062797733;0.06323643
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;47.75;0;0;-0.033233065;-0.036002324;0.06323643;0.063662711
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;48;0;0;-0.036002324;-0.038779359;0.063662711;0.064076811
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;48.25;0;0;-0.038779359;-0.041563002;0.064076811;0.064478955
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;48.5;0;0;-0.041563002;-0.044352115;0.064478955;0.064869368
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;48.75;0;0;-0.044352115;-0.047145597;0.064869368;0.065248267
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;49;0;0;-0.047145597;-0.049942376;0.065248267;0.065615866
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;49.25;0;0;-0.049942376;-0.052741423;0.065615866;0.065972372
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;49.5;0;0;-0.052741423;-0.055541944;0.065972372;0.066317958
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;49.75;0;0;-0.055541944;-0.058343392;0.066317958;0.06665276
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;50;0;0;-0.058343392;-0.061145246;0.06665276;0.06697691
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;50.25;0;0;-0.061145246;-0.063946997;0.06697691;0.067290537
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;50.5;0;0;-0.063946997;-0.066748155;0.067290537;0.06759377
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;50.75;0;0;-0.066748155;-0.06954824;0.06759377;0.067886735
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;51;0;0;-0.06954824;-0.072346788;0.067886735;0.068169555
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;51.25;0;0;-0.072346788;-0.075143349;0.068169555;0.068442354
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;51.5;0;0;-0.075143349;-0.077937485;0.068442354;0.06870525
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;51.75;0;0;-0.077937485;-0.080728769;0.06870525;0.068958362
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;52;0;0;-0.080728769;-0.08351679;0.068958362;0.069201807
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;52.25;0;0;-0.08351679;-0.086301146;0.069201807;0.069435698
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;52.5;0;0;-0.086301146;-0.089081447;0.069435698;0.06966015
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;52.75;0;0;-0.089081447;-0.091857316;0.06966015;0.069875272
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;53;0;0;-0.091857316;-0.094628386;0.069875272;0.070081175
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;53.25;0;0;-0.094628386;-0.097394299;0.070081175;0.070277967
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;53.5;0;0;-0.097394299;-0.10015471;0.070277967;0.070465752
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;53.75;0;0;-0.10015471;-0.102909284;0.070465752;0.070644637
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;54;0;0;-0.102909284;-0.105657694;0.070644637;0.070814724
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;54.25;0;0;-0.105657694;-0.108399623;0.070814724;0.070976114
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;54.5;0;0;-0.108399623;-0.111134764;0.070976114;0.071128907
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;54.75;0;0;-0.111134764;-0.11386282;0.071128907;0.071273202
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;55;0;0;-0.11386282;-0.116583501;0.071273202;0.071409096
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;55.25;0;0;-0.116583501;-0.119296526;0.071409096;0.071536684
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;55.5;0;0;-0.119296526;-0.122001623;0.071536684;0.071656061
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;55.75;0;0;-0.122001623;-0.124698528;0.071656061;0.071767319
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;56;0;0;-0.124698528;-0.127386985;0.071767319;0.07187055
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;56.25;0;0;-0.127386985;-0.130066744;0.07187055;0.071965843
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;56.5;0;0;-0.130066744;-0.132737565;0.071965843;0.072053289
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;56.75;0;0;-0.132737565;-0.135399214;0.072053289;0.072132974
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;57;0;0;-0.135399214;-0.138051464;0.072132974;0.072204985
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;57.25;0;0;-0.138051464;-0.140694088;0.072204985;0.072269404
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;57.5;0;0;-0.140694088;-0.143326932;0.072269404;0.072326333
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;57.75;0;0;-0.143326932;-0.145950012;0.072326333;0.072375918
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;58;0;0;-0.145950012;-0.148563379;0.072375918;0.072418313
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;58.25;0;0;-0.148563379;-0.151167104;0.072418313;0.072453675
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;58.5;0;0;-0.151167104;-0.15376125;0.072453675;0.072482154
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;58.75;0;0;-0.15376125;-0.15634588;0.072482154;0.0725039
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;59;0;0;-0.15634588;-0.158921057;0.0725039;0.072519058
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;59.25;0;0;-0.158921057;-0.161486842;0.072519058;0.07252777
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;59.5;0;0;-0.161486842;-0.164043296;0.07252777;0.072530178
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;59.75;0;0;-0.164043296;-0.166590479;0.072530178;0.072526417
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;60;0;0;-0.166590479;-0.169128452;0.072526417;0.072516623
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;60.25;0;0;-0.169128452;-0.171657273;0.072516623;0.072500928
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;60.5;0;0;-0.171657273;-0.174177002;0.072500928;0.072479461
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;60.75;0;0;-0.174177002;-0.176687696;0.072479461;0.07245235
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;61;0;0;-0.176687696;-0.179189415;0.07245235;0.072419718
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;61.25;0;0;-0.179189415;-0.181682214;0.072419718;0.072381687
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;61.5;0;0;-0.181682214;-0.18416615;0.072381687;0.072338379
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;61.75;0;0;-0.18416615;-0.18664128;0.072338379;0.07228991
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;62;0;0;-0.18664128;-0.189107659;0.07228991;0.072236395
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;62.25;0;0;-0.189107659;-0.191565343;0.072236395;0.072177949
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;62.5;0;0;-0.191565343;-0.194014385;0.072177949;0.072114681
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;62.75;0;0;-0.194014385;-0.196454841;0.072114681;0.072046701
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;63;0;0;-0.196454841;-0.198886763;0.072046701;0.071974115
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;63.25;0;0;-0.198886763;-0.201310206;0.071974115;0.071897029
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;63.5;0;0;-0.201310206;-0.203725221;0.071897029;0.071815545
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;63.75;0;0;-0.203725221;-0.20613186;0.071815545;0.071729764
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;64;0;0;-0.20613186;-0.208530177;0.071729764;0.071639785
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;64.25;0;0;-0.208530177;-0.210920221;0.071639785;0.071545706
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;64.5;0;0;-0.210920221;-0.213302044;0.071545706;0.071447622
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;64.75;0;0;-0.213302044;-0.215675697;0.071447622;0.071345626
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;65;0;0;-0.215675697;-0.218041228;0.071345626;0.071239811
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;65.25;0;0;-0.218041228;-0.220398705;0.071239811;0.071130254
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;65.5;0;0;-0.220398705;-0.222748187;0.071130254;0.071017035
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;65.75;0;0;-0.222748187;-0.225089707;0.071017035;0.070900253
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;66;0;0;-0.225089707;-0.227423302;0.070900253;0.070780003
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;66.25;0;0;-0.227423302;-0.229749006;0.070780003;0.070656377
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;66.5;0;0;-0.229749006;-0.232066854;0.070656377;0.070529469
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;66.75;0;0;-0.232066854;-0.234376881;0.070529469;0.070399366
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;67;0;0;-0.234376881;-0.236679122;0.070399366;0.070266159
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;67.25;0;0;-0.236679122;-0.238973611;0.070266159;0.070129934
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;67.5;0;0;-0.238973611;-0.241260383;0.070129934;0.069990774
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;67.75;0;0;-0.241260383;-0.24353947;0.069990774;0.069848766
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;68;0;0;-0.24353947;-0.245810867;0.069848766;0.06970402
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;68.25;0;0;-0.245810867;-0.248074557;0.06970402;0.069556657
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;68.5;0;0;-0.248074557;-0.250330548;0.069556657;0.069406773
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;68.75;0;0;-0.250330548;-0.252578851;0.069406773;0.069254465
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;69;0;0;-0.252578851;-0.254819474;0.069254465;0.069099827
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;69.25;0;0;-0.254819474;-0.257052427;0.069099827;0.068942951
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;69.5;0;0;-0.257052427;-0.259277722;0.068942951;0.068783928
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;69.75;0;0;-0.259277722;-0.261495367;0.068783928;0.068622847
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;70;0;0;-0.261495367;-0.263705374;0.068622847;0.068459796
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;70.25;0;0;-0.263705374;-0.265907755;0.068459796;0.068294859
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;70.5;0;0;-0.265907755;-0.268102521;0.068294859;0.06812812
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;70.75;0;0;-0.268102521;-0.270289684;0.06812812;0.067959663
2;FVC;-9.6044;2.07793;0.01009;-2.05119;0.0902;1;0;71;0;0;-0.270289684;-0.272469256;0.067959663;0.067789568
